Volume,Time,Timestamp,Type
77,0.2,89.4,Teacher 
81,0.2,89.6,Teacher 
79.8,0.2,89.8,Teacher 
69.7,0.2,90,Ambient
79.5,0.2,90.2,Teacher 
77,0.2,90.4,Teacher 
83.2,0.2,90.6,Teacher 
78.4,0.2,90.8,Teacher 
77.9,0.2,91,Teacher 
72.3,0.2,91.2,Student
80.3,0.2,91.4,Student
83.5,0.2,91.6,Student
86.6,0.2,91.8,Student
78.2,0.2,92,Student
78.6,0.2,92.2,Student
77.5,0.2,92.4,Student
78.8,0.2,92.6,Student
82.7,0.2,92.8,Student
82.2,0.2,93,Student
81.2,0.2,93.2,Student
81.3,0.2,93.4,Student
85,0.2,93.6,Student
81.3,0.2,93.8,Student
83.2,0.2,94,Student
75.8,0.2,94.2,Student
78.8,0.2,94.4,Student
76.1,0.2,94.6,Student
77.7,0.2,94.8,Student
78.3,0.2,95,Student
71,0.2,95.2,Ambient
67.9,0.2,95.4,Ambient
73.2,0.2,95.6,Student
78.6,0.2,95.8,Student
75.9,0.2,96,Student
85.2,0.2,96.2,Student
75.2,0.2,96.4,Student
67.2,0.2,96.6,Ambient
75.5,0.2,96.8,Student
73.3,0.2,97,Student
85.8,0.2,97.2,Teacher 
86.1,0.2,97.4,Teacher 
85.2,0.2,97.6,Teacher 
75.6,0.2,97.8,Teacher 
84.8,0.2,98,Teacher 
74,0.2,98.2,Teacher 
80.5,0.2,98.4,Teacher 
81.2,0.2,98.6,Teacher 
78.4,0.2,98.8,Teacher 
82.1,0.2,99,Teacher 
84.5,0.2,99.2,Teacher 
80.9,0.2,99.4,Teacher 
85.1,0.2,99.6,Teacher 
81.8,0.2,99.8,Teacher 
74.5,0.2,100,Student
75.6,0.2,100.2,Student
74,0.2,100.4,Student
72.5,0.2,100.6,Student
70.1,0.2,100.8,Ambient
71.1,0.2,101,Ambient
70.8,0.2,101.2,Ambient
71.1,0.2,101.4,Ambient
73.9,0.2,101.6,Teacher 
82.1,0.2,101.8,Teacher 
70.5,0.2,102,Ambient
69,0.2,102.2,Ambient
70.3,0.2,102.4,Ambient
85.7,0.2,102.6,Teacher 
83.1,0.2,102.8,Teacher 
79.3,0.2,103,Teacher 
69.2,0.2,103.2,Ambient
68.4,0.2,103.4,Ambient
70.3,0.2,103.6,Ambient
88.9,0.2,103.8,Teacher 
83.5,0.2,104,Teacher 
85.4,0.2,104.2,Teacher 
85.6,0.2,104.4,Teacher 
74.8,0.2,104.6,Teacher 
76.8,0.2,104.8,Teacher 
72.5,0.2,105,Teacher 
80.6,0.2,105.2,Teacher 
82.5,0.2,105.4,Teacher 
81.7,0.2,105.6,Teacher 
82.6,0.2,105.8,Teacher 
84.3,0.2,106,Teacher 
84,0.2,106.2,Teacher 
87.2,0.2,106.4,Teacher 
88.8,0.2,106.6,Teacher 
85.7,0.2,106.8,Teacher 
83.4,0.2,107,Teacher 
77.7,0.2,107.2,Teacher 
75.3,0.2,107.4,Teacher 
86.4,0.2,107.6,Teacher 
